INCENTIVOS DSL 2026,,HITTING,,,,,,,,,DEFENSE,,,,,TEAM,,,,
TEXAS RANGERS,,DAILY,,,,,,,WEEKLY,,DAILY,,,,WEEKLY,,,,,
Actualización: 6/16/2026,,75,-30,60,45,15,-15,30,180,180,-15,15,30,-15,180,30,30,30,30,
Players,Team,BB,K,2H+,EV100 FLY&LD,Avance 2 Bases,1er/3er Out 3B,SB,Chase%,HH%,E,DP,Heads Up Play,Mental Mistakes,SL+,H10+,Chase% < 20%,E0,W,$RD
"Rodriguez, Alex",R,13,6,1,2,3,0,3,2,0,1,1,0,0,0,6,5,1,8,2040
"Mateo, Cesar",R,7,9,6,3,3,0,14,0,0,5,2,1,0,0,7,4,1,9,1830
"Flores, Jesus",B,11,4,2,1,1,0,1,0,2,2,0,0,0,0,3,5,0,8,1725
"Celesten, Yeisy",R,7,7,6,4,3,0,0,0,0,3,3,1,0,0,7,5,1,9,1590
"Guerrero, Oliver",B,13,10,1,4,2,0,1,0,0,2,6,0,0,0,3,4,0,8,1485
"Zayas, Saivel",R,4,12,6,4,2,0,2,0,0,0,0,0,1,0,7,6,1,9,1245
"Rosario, Elian",R,6,6,3,4,0,0,0,0,0,3,0,0,0,0,5,4,1,9,1155
"Diaz, David",R,8,7,0,0,2,0,1,0,0,1,2,2,0,0,6,4,1,9,1125
"Ramirez, Santiago",R,4,6,5,1,2,0,0,0,0,0,0,2,0,0,5,4,1,9,1125
"Valdes, Abel",R,3,2,2,2,0,0,0,0,0,1,0,2,1,1,4,2,0,9,1035
"Benitez, Frainker",B,8,5,2,0,4,0,1,0,0,3,0,0,0,0,3,3,0,8,1035
"Abreu, Ariel",B,9,5,3,0,1,0,0,0,0,10,0,0,1,0,3,4,0,8,1005
"Jaquez, Luis",B,5,3,4,0,0,0,1,0,0,6,6,0,0,0,2,5,0,8,1005
"Castillo, Wesly",B,8,11,2,0,0,0,5,0,0,0,0,0,0,0,3,4,0,8,990
"Ramirez, Manni",B,4,10,5,4,1,0,2,0,0,1,0,0,0,0,2,3,0,7,900
"Cavero, Braulio",R,3,2,3,2,4,0,0,0,0,0,0,0,0,0,4,2,0,9,945
"Done, Carlos",R,5,13,3,3,1,0,0,0,0,0,0,0,1,0,6,4,1,9,900
"Volquez, Fabelin",R,5,4,2,0,1,0,0,0,0,1,1,0,0,0,5,3,0,9,900
"Marcano, Jose",B,4,2,1,0,1,0,0,0,0,0,4,0,1,1,0,1,0,8,810
"Gonzalez, Victor",R,6,8,1,0,2,0,1,0,0,2,2,0,0,0,1,5,1,8,780
"Pinder, Jayln",B,5,4,0,0,0,0,3,0,0,0,0,0,0,0,3,1,0,9,735
"Chavez, Jesus",B,4,1,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,8,660
"Alarcon, Rosnel",R,3,3,0,1,0,0,1,0,0,0,0,0,0,0,3,2,0,9,630
"Pereira, Raul",B,4,5,0,0,0,0,0,0,0,0,2,1,0,0,2,4,0,8,630
"Genao, Jhostin",B,3,8,1,0,0,0,3,0,0,1,0,1,0,0,1,5,0,8,570
"Mosqueda, Juan",R,1,0,0,0,0,0,0,0,0,2,0,2,0,0,2,3,0,9,525
"Ortiz Jr, David",R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,9,450
"Montero, Darling",B,0,3,1,0,0,0,2,0,0,1,3,0,1,0,1,3,0,8,405
"Colina, Felix",B,1,1,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,8,375
"Santa, Fraimy",B,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,8,360
"Seminiel, Cristian",R,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,9,315
"Rodriguez, Victor",B,0,2,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,8,315
"Cedeno, Luis",B,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,285
"Coronado, Francisco",B,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,255
"Simon, Jhon",B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,240
